GEOID,NAMELSAD,SHAPE.AREA,SHAPE.LEN,GEONAME,DP03_0001E,DP03_0002E,DP03_0003E,DP03_0004E,DP03_0005E,DP03_0006E,DP03_0007E,DP03_0008E,DP03_0009PE,DP03_0010E,DP03_0011E,DP03_0012E,DP03_0013E,DP03_0014E,DP03_0015E,DP03_0016E,DP03_0017E,DP03_0018E,DP03_0019E,DP03_0020E,DP03_0021E,DP03_0022E,DP03_0023E,DP03_0024E,DP03_0025E,DP03_0026E,DP03_0027E,DP03_0028E,DP03_0029E,DP03_0030E,DP03_0031E,DP03_0032E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E,DP03_0046E,DP03_0047E,DP03_0048E,DP03_0049E,DP03_0050E,DP03_0051E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,DP03_0059E,DP03_0060E,DP03_0061E,DP03_0062E,DP03_0063E,DP03_0064E,DP03_0065E,DP03_0066E,DP03_0067E,DP03_0068E,DP03_0069E,DP03_0070E,DP03_0071E,DP03_0072E,DP03_0073E,DP03_0074E,DP03_0075E,DP03_0076E,DP03_0077E,DP03_0078E,DP03_0079E,DP03_0080E,DP03_0081E,DP03_0082E,DP03_0083E,DP03_0084E,DP03_0085E,DP03_0086E,DP03_0087E,DP03_0088E,DP03_0089E,DP03_0090E,DP03_0091E,DP03_0092E,DP03_0093E,DP03_0094E,DP03_0095E,DP03_0096E,DP03_0097E,DP03_0098E,DP03_0099E,DP03_0100E,DP03_0101E,DP03_0102E,DP03_0103E,DP03_0104E,DP03_0105E,DP03_0106E,DP03_0107E,DP03_0108E,DP03_0109E,DP03_0110E,DP03_0111E,DP03_0112E,DP03_0113E,DP03_0114E,DP03_0115E,DP03_0116E,DP03_0117E,DP03_0118E,DP03_0119PE,DP03_0120PE,DP03_0121PE,DP03_0122PE,DP03_0123PE,DP03_0124PE,DP03_0125PE,DP03_0126PE,DP03_0127PE,DP03_0128PE,DP03_0129PE,DP03_0130PE,DP03_0131PE,DP03_0132PE,DP03_0133PE,DP03_0134PE,DP03_0135PE,DP03_0136PE,DP03_0137PE,GIS_ID,GLOBALID
11001,Ward 1,0,0,"Ward 1 (2022), District of Columbia",71298,57877,57766,54954,2812,111,13421,57766,4.9,37298,29560,29560,27823,4876,3977,6239,4951,54603,10659,1737,18315,7016,5073,11803,30.1,54954,40254,6331,5849,1113,1407,54954,71,1323,461,219,1575,1380,2385,3745,15306,9111,4651,6571,8156,54954,41391,11038,2478,47,38776,2278,1121,1426,1792,2088,4238,4780,6774,5596,8683,111575,152858,34761,157046,3981,17004,2936,38740,1022,9837,1340,3775,3382,12865,796,191,367,569,610,996,1143,1425,1983,4785,158966,207193,73239,25911,97082,123288,73109,92451,83763,82129,78596,63643,19327,3533,13311,441,63130,55537,52947,50822,47415,4050,2125,2590,2382,1145,1403,208,7593,6871,3846,3432,722,9.200000000000001,17.1,8.700000000000001,1.1,2.5,3.2,36.0,45.1,30.6,11.200000000000001,22.2,22.2,18.3,24.7,9.3,8.700000000000001,16.6,11.4,11.1,ACS_Economic_DC_Ward_1,{14C7D14A-520A-4F52-8260-D1898F71A05D}
11002,Ward 2,0,0,"Ward 2 (2022), District of Columbia",79049,56756,56488,54730,1758,268,22293,56488,3.1,40189,28503,28404,27458,2810,1991,2119,1652,54147,8873,1179,10469,17529,3937,12160,23.900000000000002,54730,43353,3697,6594,481,605,54730,33,794,675,207,1667,693,2005,5163,17391,9149,3454,5396,8103,54730,41444,11305,1905,76,44008,2984,956,1409,1528,2085,4914,4662,8384,4240,12846,118015,171802,38114,171860,5812,21256,5463,51898,903,9855,357,6953,1669,10853,137,161,298,231,332,608,403,1552,1308,5823,217996,272674,90730,33155,100485,137281,76713,112023,92405,83454,81626,73992,13953,1828,8102,36,66205,52431,50819,49763,48494,1654,1056,1612,1456,1053,435,156,13774,13197,11544,2105,577,4.4,10.1,0.0,1.9000000000000001,3.6,0.0,16.0,23.6,0.0,12.3,11.700000000000001,11.700000000000001,6.4,17.900000000000002,12.4,12.3,13.1,5.4,16.6,ACS_Economic_DC_Ward_2,{D55A447C-93C4-488B-B0E0-4B380C238334}
11003,Ward 3,0,0,"Ward 3 (2022), District of Columbia",70274,49034,48878,46841,2037,156,21240,48878,4.2,38513,26045,26025,24771,4731,4201,8273,6538,46222,15454,1830,12266,3253,2569,10850,28.2,46841,37616,3094,5249,330,552,46841,16,626,543,296,1360,585,1880,4021,13122,9185,2387,4341,8479,46841,32059,11343,3237,202,38936,2317,744,1014,1132,1590,4094,4352,6213,4525,12955,133750,212413,31626,208201,8799,26852,8185,61948,513,8048,375,4979,691,17406,278,100,128,66,180,625,976,2338,2163,10552,244009,337063,102050,21530,84272,108396,82093,128125,97553,82030,80783,74629,17574,1247,15107,187,51688,43293,41613,41046,39799,1581,567,1680,1634,1371,313,46,8395,8003,7252,1091,392,2.4,2.1,1.9000000000000001,1.3,1.4000000000000001,0.0,9.6,1.9000000000000001,28.3,7.9,1.5,1.5,1.0,1.7,9.200000000000001,10.3,5.4,2.2,17.7,ACS_Economic_DC_Ward_3,{A44FF32E-722A-409D-BF93-523501062C1A}
11004,Ward 4,0,0,"Ward 4 (2022), District of Columbia",68236,49322,49270,46050,3220,52,18914,49270,6.5,35723,24948,24926,23413,6667,5679,10976,8992,45167,18408,3510,11430,863,1960,8996,34.5,46050,28367,7645,6284,1717,2037,46050,65,1330,633,159,2343,1764,1546,2550,9693,8735,4803,4607,7822,46050,31101,11853,2958,138,33568,1712,620,1596,1629,2467,4552,3749,5183,3361,8699,104944,147043,28379,149448,7436,20033,6786,46888,1167,10729,1094,4211,2950,19936,614,162,605,980,1298,2152,1688,3083,2567,6787,137139,176866,57927,13632,71000,95291,61056,86538,83444,85678,82317,61585,32271,3361,20046,455,53110,44896,41906,39933,35041,6486,1973,2990,2683,1391,1342,307,8214,7663,3561,5117,551,6.9,10.1,7.2,4.0,5.8,0.0,12.6,21.5,30.6,9.5,11.1,10.9,9.5,11.5,9.0,8.700000000000001,10.5,7.1000000000000005,17.1,ACS_Economic_DC_Ward_4,{F4E3EC07-9862-4805-A40C-BF8AE4679597}
11005,Ward 5,0,0,"Ward 5 (2022), District of Columbia",73628,51545,51431,47672,3759,114,22083,51431,7.3,38442,26053,26053,24413,6449,4763,8998,7100,46733,17512,2606,11768,2568,2901,9378,31.5,47672,29347,7256,6564,2222,2283,47672,114,2254,845,219,2427,1880,1873,2669,9659,8801,4143,4757,8031,47672,33497,12196,1893,86,38324,2741,1485,2206,2304,3634,5093,4808,5945,4141,5967,84671,111345,30876,120323,7854,14391,6802,32530,2508,9799,2076,4410,5737,17300,785,384,743,830,1431,1935,1852,2984,2296,4060,111711,136594,48566,21024,68388,86006,57122,78590,72595,88254,84765,60504,33591,3489,17582,346,59734,48585,45031,43371,38463,6165,1660,3554,3095,1126,2050,459,11149,10282,4509,6531,867,10.200000000000001,15.3,14.5,4.6000000000000005,5.5,7.1000000000000005,19.6,26.5,37.2,15.200000000000001,19.2,18.900000000000002,18.7,19.0,14.3,13.8,16.6,11.6,21.5,ACS_Economic_DC_Ward_5,{AC1459BE-9F8E-49E4-80CD-41D46667C4F8}
11006,Ward 6,0,0,"Ward 6 (2022), District of Columbia",70025,55949,55161,53402,1759,788,14076,55161,3.2,36416,27862,27726,26859,4755,3831,4982,3736,53851,11925,1687,14498,8932,4284,12525,27.400000000000002,53402,43262,3764,5073,486,817,53402,62,890,670,245,1518,683,2849,3004,15636,6356,3615,5572,12302,53402,35834,15600,1949,19,41519,2466,1135,1291,1304,1949,4129,4245,8180,5891,10929,123638,154971,36002,159817,5255,19486,4847,51541,1269,9166,649,2315,2484,14149,394,383,628,229,458,496,604,1825,2254,6878,196698,221197,82022,27370,102424,118072,86224,105420,91170,77869,75867,65726,16848,2002,10677,424,59694,52808,51134,50285,48162,3109,849,1674,1483,881,718,191,6886,6371,3483,3275,515,7.4,13.200000000000001,2.2,2.5,4.1,0.0,30.8,34.800000000000004,2.4,11.1,15.4,15.200000000000001,7.0,21.0,10.5,10.200000000000001,13.4,9.6,12.700000000000001,ACS_Economic_DC_Ward_6,{05367432-B768-4CEC-B3B5-C4B5F39A1A28}
11007,Ward 7,0,0,"Ward 7 (2022), District of Columbia",71788,43601,43448,36604,6844,153,28187,43448,15.8,38400,23365,23346,19904,8607,6118,12596,9810,35934,16248,2513,10408,391,1782,4592,35.2,36604,16622,8036,8113,1364,2469,36604,187,1466,296,316,3443,2504,508,1618,6302,6974,3204,2678,7108,36604,23163,11817,1624,0,37222,5224,2218,3059,3353,3136,5983,4577,4876,1994,2802,56044,78679,26736,89155,9360,14852,7496,33527,3666,9191,3017,4237,9367,19799,2291,847,1185,1741,1667,3263,2275,3019,1433,2078,66727,93197,32969,17423,42797,59275,44583,69535,60520,88991,84745,45856,49317,4246,23338,672,53669,40792,34427,32544,25185,8472,1883,6365,5666,1745,4376,699,12877,11957,3165,9633,920,21.0,31.400000000000002,23.2,5.2,7.5,4.1,33.2,41.9,40.2,25.0,37.5,37.4,35.7,38.300000000000004,20.900000000000002,22.0,15.6,23.3,30.0,ACS_Economic_DC_Ward_7,{32FAF7AA-6A2F-48A5-A5FC-9B95363AD142}
11008,Ward 8,0,0,"Ward 8 (2022), District of Columbia",64107,41567,40018,33714,6304,1549,22540,40018,15.8,36422,22938,22747,19377,9051,6412,14925,10128,34357,14919,2269,11441,1408,1057,3263,35.2,33714,13945,8691,7177,1140,2761,33714,59,1326,333,478,2584,2108,655,1847,5969,7033,4776,1772,4774,33714,23568,9245,870,31,37751,5994,2824,3839,3924,4265,4965,3832,3721,1910,2477,42697,68886,27574,81019,7671,11537,4840,27417,4083,8984,3382,3555,12601,18888,2641,1058,1653,1764,2372,2712,2032,1947,1223,1486,49635,75635,30412,18863,34427,59996,40375,51652,57260,85312,82175,38263,51146,3137,26720,378,50558,37873,32151,30813,22169,10363,1338,5722,5119,1336,4152,603,12685,11877,2935,9942,808,25.5,33.5,36.9,7.2,11.0,1.8,35.0,41.1,46.5,28.7,37.2,36.9,35.4,37.5,25.1,24.7,28.0,27.3,32.4,ACS_Economic_DC_Ward_8,{79EDD563-60DB-41D8-BC58-085F06857AE3}
